employee_number,gender,birth_year,age,marital_status,dist_home,job_title,department,terminated,year_at_comp,year_current_role,standard_hours,remote,business_travel,over_time,job_level,stock_opt_level,traning_times_last_year,perf_rate,year_last_promotion,year_current_mngr,education_field,education_scale,annual_salary,monthly_income,daily_rate,hourly_rate,monthly_rate,perc_salary_hike,env_sat_rate,job_involvement,job_sat_rate,relationship_sat_rate,work_life_balance,num_comp_worked,tot_working_year
35,F,1989,34,Single,6,Research Scientist,Research & Development,No,16,,,Yes,travel_rarely,,2,0,3,"3,0",2,10,Other,4,53914.11000000001,4492.84,556.2566609977324,,"11681,39$",14,1,3,3,3,"3,0",1,"16,0"
36,F,1977,46,Divorced,1,Sales Executive,Sales,No,24,,Part Time,Yes,travel_rarely,No,3,3,2,"4,0",15,7,,2,100071.84,8339.32,1032.4872861766066,,"21682,23$",25,2,3,1,3,"3,0",1,"24,0"
37,F,1980,43,Married,16,Manager,,No,17,,Full Time,Yes,,,4,1,3,"4,0",1,9,,3,160640.0,13349.916666666666,1657.3968253968255,207.1746031746032,"34805,33$",22,4,3,4,3,"3,0",5,"22,0"
38,M,1987,36,Married,6,Laboratory Technician,Research & Development,No,15,,Full Time,Yes,,,1,1,4,"3,0",10,11,Life Sciences,3,32100.0,2675.0,331.1904761904762,,"6955,00$",11,4,3,4,3,"3,0",0,"16,0"
39,F,1963,60,Married,28,Sales Executive,Sales,No,18,"13,0",Full Time,Yes,travel_frequently,No,3,0,5,"3,0",13,11,,3,102660.0,8555.0,1059.1904761904764,,"22243,00$",19,3,2,1,4,"4,0",4,"22,0"
40,M,1983,40,Married,5,Sales Executive,Sales,No,18,,Full Time,No,travel_frequently,Yes,3,1,2,"4,0",1,12,,4,104750.0,8729.17,1080.7539682539684,,"22695,83$",21,4,2,1,3,"3,0",5,"20,0"
41,F,1991,32,Married,4,Manufacturing Director,Research & Development,No,14,,Full Time,No,travel_rarely,No,2,1,3,"3,0",6,8,,3,61620.0,5238.333333333333,635.7619047619048,,"13351,00$",12,3,2,3,3,"3,0",1,"14,0"
42,M,1982,41,Single,-35,Laboratory Technician,Research & Development,No,18,,Full Time,Yes,travel_rarely,Yes,1,0,3,,2,17,,3,47210.0,3934.17,487.0873015873016,60.8859126984127,"10228,83$",13,35,3,1,3,"3,0",2,"20,0"
43,M,1970,53,Divorced,2,Manager,,No,17,,Full Time,No,,No,4,1,3,"3,0",15,2,Medical,2,153407.07,12783.92,1582.7713464696226,,"33238,20$",13,3,3,3,3,"4,0",6,"22,0"
44,F,1987,36,Single,16,Laboratory Technician,Research & Development,Yes,17,,Part Time,Yes,travel_rarely,,1,0,1,"3,0",15,14,,4,28111.13,2342.59,290.03550973654063,36.25443871706758,"6090,75$",16,3,4,1,3,"3,0",1,"18,0"
45,F,1977,46,Divorced,8,Research Scientist,Research & Development,No,16,,Part Time,No,,Yes,2,3,2,"4,0",1,7,Life Sciences,4,46150.0,3845.83,476.1507936507937,,"9999,17$",23,4,2,1,1,"3,0",8,
46,M,1985,38,Married,1,Sales Executive,Sales,No,15,,,Yes,travel_rarely,No,2,2,3,"3,0",5,8,,4,53914.11,4492.84,556.2566609977324,,"11681,39$",15,4,3,2,1,,0,"16,0"
47,F,1972,51,Single,1,Healthcare Representative,Research & Development,No,13,,Part Time,Yes,,,3,0,1,"4,0",12,8,,4,100071.84,8339.32,1032.4872861766066,,"21682,23$",20,1,2,1,3,"2,0",3,"23,0"
48,M,1980,43,Married,26,Manager,,No,25,,Full Time,Yes,,Yes,4,2,3,"3,0",4,12,,2,169590.0,14132.5,1749.7380952380954,,"36744,50$",12,3,3,4,4,"4,0",1,"25,0"
49,F,1986,37,Single,1,Research Scientist,Research & Development,No,17,,Part Time,Yes,,No,1,0,3,"3,0",5,7,Life Sciences,3,28111.13,2342.59,290.03550973654063,,"6090,75$",12,4,3,4,2,"3,0",1,
50,F,1991,32,Married,8,Sales Executive,Sales,No,13,"12,0",Part Time,Yes,travel_rarely,Yes,2,0,2,"3,0",11,9,Technical Degree,2,53914.11,4492.84,556.2566609977324,,"11681,39$",11,3,2,2,4,"3,0",1,
51,F,1985,38,Married,1,Research Director,Research & Development,No,15,,Part Time,No,,,3,1,3,"3,0",5,11,,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",13,4,3,1,2,"3,0",1,"15,0"
52,F,1977,46,,3,Manager,,No,13,,Full Time,Yes,,No,4,1,2,"3,0",5,1,Life Sciences,3,153407.07,12783.92,1582.7713464696226,,"33238,20$",12,3,3,2,4,"4,0",8,"23,0"
53,M,1988,35,Married,10,Sales Executive,Sales,Yes,13,,,No,travel_rarely,,3,0,3,"3,0",6,0,Medical,3,103720.0,8588.33,1063.3174603174605,,"22329,67$",17,4,2,1,3,,9,"15,0"
54,F,1980,43,Married,6,Manager,,No,16,,,Yes,,No,5,0,2,"3,0",6,14,Medical,3,191324.62,15943.72,1973.9841269841268,,"41453,67$",13,1,2,3,4,"3,0",7,"21,0"
55,M,1967,56,Divorced,1,Healthcare Representative,Research & Development,No,13,,,Yes,non-travel,No,2,1,2,,1,9,Life Sciences,4,53914.11000000001,4492.84,556.2566609977324,,"11681,39$",21,3,3,3,1,"2,0",1,
56,M,1987,36,Divorced,15,Sales Executive,Sales,No,15,,Full Time,Yes,non-travel,No,2,1,4,"4,0",11,11,Marketing,4,54060.0,4505.0,557.7619047619048,,"11713,00$",24,4,1,4,1,"2,0",1,
57,F,1985,38,,6,Research Scientist,Research & Development,No,13,,Part Time,Yes,,,2,3,3,"3,0",1,9,Medical,3,53914.11,4492.84,556.2566609977324,,"11681,39$",12,2,1,4,4,"3,0",7,"17,0"
58,F,1974,49,,-26,Manufacturing Director,Research & Development,No,15,,Part Time,No,,No,2,0,2,"3,0",5,11,Medical,4,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",14,3,3,1,3,"2,0",1,"16,0"
59,F,1984,39,Married,4,Sales Executive,Sales,No,15,,Full Time,Yes,travel_rarely,,2,1,1,"3,0",5,9,Life Sciences,4,59020.0,4918.33,608.936507936508,,"12787,67$",14,4,2,3,3,"4,0",4,"17,0"
60,M,1983,40,Married,4,Sales Executive,Sales,No,12,,Full Time,Yes,,No,3,1,2,,2,11,,4,108550.0,8996.666666666666,1119.9603174603176,139.9950396825397,"23519,17$",11,3,2,4,1,"2,0",7,"15,0"
61,M,1987,36,Single,5,Laboratory Technician,Research & Development,No,13,,Full Time,Yes,,No,2,0,3,"3,0",3,7,,2,59140.0,4928.33,610.1746031746031,,"12813,67$",16,4,3,2,4,"4,0",8,"16,0"
62,F,1986,37,Married,25,Research Scientist,Research & Development,No,13,,,No,,Yes,2,2,2,"3,0",10,7,,5,53914.11,4492.84,556.2566609977324,,"11681,39$",15,2,3,3,1,"3,0",3,"15,0"
63,M,1988,35,,6,Research Scientist,Research & Development,No,17,,Full Time,Yes,,,2,0,3,"3,0",11,8,,4,66460.0,5538.33,685.6984126984128,,"14399,67$",13,2,1,4,2,"3,0",1,
64,M,1990,33,Divorced,6,Healthcare Representative,Research & Development,No,13,,Part Time,No,travel_frequently,No,2,1,2,"4,0",4,7,Life Sciences,3,53914.11,4492.84,556.2566609977324,,"11681,39$",23,3,3,4,3,"1,0",3,"15,0"
65,M,1973,50,Married,24,Manufacturing Director,Research & Development,No,12,,Full Time,No,travel_rarely,Yes,4,1,2,"3,0",1,5,,3,139730.0,11581.946666666665,1441.65873015873,,"30274,83$",18,4,3,3,4,"3,0",3,"22,0"
66,M,1975,48,Single,4,Healthcare Representative,Research & Development,No,15,"11,0",Part Time,Yes,travel_rarely,,3,0,3,,4,8,,4,100071.84,8339.32,1032.4872861766066,,"21682,23$",14,3,2,3,2,"3,0",7,"27,0"
67,F,1979,44,Married,28,Sales Executive,Sales,No,12,,,Yes,travel_rarely,,4,1,2,"3,0",11,11,,3,133163.33333333334,11100.0,1374.2857142857142,,"28860,00$",18,4,4,4,3,"3,0",3,
68,M,1979,44,Single,29,Research Scientist,Research & Development,No,20,,Part Time,Yes,travel_rarely,,2,0,3,"4,0",13,17,,4,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",25,4,3,4,2,"3,0",1,
69,F,1983,40,,-25,Healthcare Representative,Research & Development,No,12,,Part Time,Yes,,No,2,3,0,"4,0",11,8,,1,53914.11,4492.84,556.2566609977324,,"11681,39$",20,25,4,3,2,"3,0",5,"15,0"
70,F,1989,34,Single,2,Healthcare Representative,Research & Development,No,14,,Full Time,Yes,travel_rarely,,2,0,2,"3,0",4,11,,4,66870.0,5572.5,689.9285714285714,86.24107142857143,"14488,50$",11,3,3,4,4,"4,0",1,"14,0"
71,F,1988,35,,8,Healthcare Representative,Research & Development,No,14,,Part Time,Yes,non-travel,,2,1,5,"3,0",2,9,,4,53914.11,4492.84,556.2566609977324,,"11681,39$",12,3,3,3,4,"3,0",1,
72,F,1973,50,,17,Research Director,Research & Development,No,14,"11,0",Part Time,No,,No,3,3,3,"3,0",1,11,Life Sciences,5,100071.84,8339.32,1032.4872861766066,,"21682,23$",15,4,2,1,3,"3,0",5,
73,F,1974,49,,6,Healthcare Representative,Research & Development,No,15,,Full Time,Yes,,,4,1,3,"3,0",2,12,Life Sciences,1,153407.07,12783.92,1582.7713464696226,197.8464183087028,"33238,20$",19,3,2,3,2,"3,0",2,
74,M,1985,38,,1,Research Scientist,Research & Development,No,13,,Part Time,Yes,travel_frequently,No,2,2,4,"3,0",2,9,Life Sciences,3,47350.0,3944.7233333333334,488.531746031746,61.06646825396825,"10259,17$",15,4,3,4,4,,7,"19,0"
75,M,1990,33,,21,Laboratory Technician,Research & Development,No,14,,Part Time,Yes,,No,1,3,6,"3,0",2,13,,3,28111.13,2342.59,290.03550973654063,,"6090,75$",18,2,4,2,4,,1,"14,0"
76,F,1976,47,Divorced,4,Manufacturing Director,Research & Development,No,22,,Part Time,Yes,travel_rarely,Yes,3,1,4,,14,10,Life Sciences,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",12,3,2,2,3,"3,0",8,
77,F,1985,38,Divorced,8,Research Scientist,Research & Development,No,20,,,No,,,2,1,3,"3,0",0,7,,3,53914.11000000001,4492.84,556.2566609977324,,"11681,39$",16,4,2,2,3,"3,0",1,"20,0"
78,F,1986,37,,10,Research Director,Research & Development,No,16,,Part Time,Yes,travel_rarely,Yes,3,1,2,"4,0",6,8,Life Sciences,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",25,3,4,4,1,"3,0",1,"16,0"
79,M,1993,30,Married,2,Healthcare Representative,Research & Development,No,11,,Part Time,Yes,,No,2,3,3,,10,8,,3,53914.11,4492.84,556.2566609977324,,"11681,39$",19,3,2,4,1,"3,0",1,"11,0"
80,M,1965,58,Single,-18,Sales Executive,Sales,No,37,,Full Time,Yes,travel_rarely,,4,0,1,"3,0",1,8,,4,138720.0,11560.0,1431.2380952380954,,"30056,00$",13,4,3,3,3,"2,0",0,"38,0"
81,F,1989,34,Single,5,Manager,,No,11,,,No,travel_rarely,,3,0,6,"3,0",5,8,,3,100071.84000000001,8339.32,1032.4872861766066,,"21682,23$",12,3,2,1,4,"3,0",2,"14,0"
82,F,1965,58,Married,23,Healthcare Representative,Research & Development,Yes,40,,Part Time,Yes,travel_rarely,,3,1,3,"3,0",15,6,Medical,4,100071.84,8339.32,1032.4872861766066,,"21682,23$",12,4,3,4,4,"2,0",1,"40,0"
83,M,1985,38,Divorced,3,Sales Executive,Sales,No,16,,,Yes,,,3,2,6,"3,0",5,13,Life Sciences,3,100071.84000000001,8339.32,1032.4872861766066,,"21682,23$",12,1,3,3,3,"2,0",0,
84,F,1994,29,Married,1,Sales Executive,Sales,No,11,,Part Time,Yes,travel_frequently,,3,1,5,"3,0",4,1,,1,100071.84,8339.32,1032.4872861766066,,"21682,23$",14,2,3,4,4,"3,0",1,"11,0"
85,M,1968,55,Single,1,Manager,,No,36,,Full Time,Yes,travel_rarely,,5,0,2,"3,0",4,13,Medical,3,190450.0,15870.83,1964.9603174603176,245.6200396825397,"41264,17$",14,4,3,1,3,"3,0",0,"37,0"
86,M,1982,41,,-10,Manager,,No,22,,,Yes,,,4,0,2,"3,0",0,4,,4,160236.66666666666,13345.83,1652.34126984127,,"34699,17$",19,4,3,2,2,"3,0",1,
87,M,1984,39,,1,Healthcare Representative,Research & Development,No,18,,Part Time,No,travel_rarely,No,3,3,5,,3,7,,3,96130.0,8010.83,991.8174603174604,123.97718253968254,"20828,17$",17,3,4,4,1,"2,0",0,"19,0"
88,M,1985,38,,15,Research Director,Research & Development,No,11,,Full Time,Yes,,,3,1,3,"3,0",2,9,Life Sciences,2,115100.0,9352.776666666667,1187.5396825396826,148.44246031746033,"24938,33$",14,3,2,4,2,"3,0",0,
89,M,1980,43,,12,Research Director,Research & Development,No,25,,Full Time,Yes,,No,4,1,3,"3,0",3,9,,3,153407.07,12783.92,1582.7713464696226,,"33238,20$",11,1,2,2,3,,1,
90,F,1992,31,Married,-30,Manufacturing Director,Research & Development,No,13,,,Yes,,No,2,1,5,"3,0",3,12,,2,43076.666666666664,3588.33,444.26984126984127,,"9329,67$",12,2,3,1,2,"1,0",1,"13,0"
91,M,1973,50,Married,-27,Manager,Research & Development,No,27,,Full Time,Yes,travel_rarely,No,4,1,2,"3,0",15,7,Life Sciences,4,170460.0,14205.0,1758.7142857142858,,"36933,00$",15,27,2,3,2,"3,0",0,"28,0"
92,M,1988,35,Married,25,Manufacturing Director,Research & Development,No,13,,Part Time,No,,No,3,0,2,,4,8,Technical Degree,3,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",16,4,2,2,1,"3,0",3,
93,M,1976,47,,16,Manufacturing Director,Research & Development,No,19,,,Yes,,Yes,2,0,3,"3,0",2,7,,4,50653.333333333336,4222.5,522.7857142857143,,"10978,50$",19,3,4,3,3,,1,"20,0"
94,F,1988,35,Divorced,25,Healthcare Representative,Research & Development,No,16,,Part Time,Yes,,Yes,3,1,3,,10,1,,4,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",11,3,3,3,3,"2,0",1,
95,M,1983,40,Married,20,Healthcare Representative,Research & Development,No,11,,Part Time,Yes,travel_rarely,,3,1,6,"4,0",11,1,,4,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",20,1,3,4,4,"3,0",4,"14,0"
96,F,1978,45,Married,9,Sales Executive,Sales,No,15,,Part Time,No,,,2,1,2,"3,0",4,12,Life Sciences,4,53914.11,4492.84,556.2566609977324,,"11681,39$",13,2,2,3,4,"3,0",1,"15,0"
97,M,1990,33,Married,9,Research Scientist,Research & Development,No,14,,,No,,,1,1,5,"3,0",4,10,Medical,3,28111.13,2342.59,290.03550973654063,,"6090,75$",13,1,3,4,2,"3,0",0,"15,0"
98,M,1987,36,Married,3,Research Scientist,Research & Development,No,11,,Full Time,No,travel_frequently,No,1,0,2,"3,0",0,7,,3,36920.0,3076.67,380.9206349206349,,"7999,33$",12,3,3,2,3,"2,0",1,"12,0"
99,F,1978,45,,-13,Manager,,Yes,24,,Full Time,Yes,,Yes,5,0,2,"3,0",1,11,Marketing,3,191324.62,15943.72,1973.9841269841268,246.74801587301585,"41453,67$",16,1,1,2,1,"3,0",2,"26,0"
100,M,1972,51,,-27,Manager,,No,29,,Full Time,No,travel_frequently,Yes,5,1,5,,11,10,,3,198470.0,16125.406666666668,2047.7063492063487,255.96329365079364,"43001,83$",24,27,3,2,1,"2,0",4,
101,M,1989,34,,7,Sales Representative,Sales,No,11,,Part Time,No,travel_rarely,Yes,1,1,4,"4,0",5,7,Technical Degree,2,23080.0,1923.0566666666666,238.12698412698413,,"5000,67$",25,2,3,3,2,"3,0",0,"12,0"
102,M,1980,43,,15,Research Director,Research & Development,No,14,,Full Time,Yes,travel_rarely,No,4,1,3,"4,0",6,11,,2,153407.07,12783.92,1582.7713464696226,,"33238,20$",24,3,2,3,1,"3,0",1,
103,M,1989,34,,5,Laboratory Technician,Research & Development,No,15,,Part Time,No,,No,2,1,3,"3,0",4,13,Medical,2,53914.11,4492.84,556.2566609977324,,"11681,39$",14,2,2,4,3,,1,
104,M,1985,38,Divorced,2,Human Resources,['Human Resources'],No,11,,Part Time,Yes,,No,1,3,3,"3,0",3,8,,3,28111.13,2342.59,290.03550973654063,,"6090,75$",13,1,3,2,4,"3,0",5,"13,0"
105,M,1975,48,,10,Research Director,Research & Development,No,22,,Full Time,No,,No,5,0,3,"3,0",12,9,,3,191324.62,15943.72,1973.9841269841268,,"41453,67$",12,4,2,2,4,"3,0",4,"29,0"
106,M,1989,34,Married,22,Research Scientist,Research & Development,No,15,,Full Time,No,,Yes,2,0,3,"3,0",6,11,Other,4,57470.0,4789.17,592.9444444444445,,"12451,83$",15,3,2,4,2,"3,0",1,"16,0"
107,F,1991,32,,-31,Sales Executive,Sales,No,14,,Full Time,Yes,travel_rarely,No,3,2,3,"3,0",5,7,,4,104220.0,8685.0,1075.2857142857142,134.41071428571428,"22581,00$",19,31,3,4,3,"3,0",1,"14,0"
108,F,1994,29,Divorced,21,Manufacturing Director,Research & Development,No,10,,,No,travel_rarely,No,3,1,1,"3,0",8,8,Life Sciences,4,100071.84000000001,8339.32,1032.4872861766066,,"21682,23$",11,2,4,1,3,"3,0",1,"10,0"
109,M,1977,46,Married,1,Healthcare Representative,Research & Development,No,10,,,No,,Yes,3,1,5,"3,0",9,5,Medical,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",13,3,2,1,3,"2,0",2,"21,0"
110,M,1993,30,Married,9,Human Resources,Human Resources,No,11,,Full Time,No,,Yes,2,0,2,"3,0",4,7,,3,63470.0,5289.17,654.8492063492064,,"13751,83$",19,3,3,4,4,"1,0",0,
111,M,1978,45,,9,Laboratory Technician,Research & Development,No,17,,Part Time,Yes,,No,2,1,2,"3,0",0,15,Life Sciences,3,23480.0,1956.67,242.25396825396828,,"5087,33$",18,2,3,2,3,,8,"20,0"
112,F,1993,30,,5,Sales Executive,Sales,No,10,,Part Time,Yes,travel_rarely,No,3,1,2,"3,0",7,4,,3,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",12,2,3,4,3,"3,0",2,
113,M,1993,30,,9,Laboratory Technician,Research & Development,No,12,,Part Time,Yes,,No,2,2,4,,6,10,,3,30720.0,2540.28,316.95238095238096,,"6656,00$",11,3,3,1,3,"3,0",1,"12,0"
114,M,1989,34,Married,-29,Manufacturing Director,Research & Development,No,10,,,No,travel_frequently,,2,0,2,"3,0",1,9,,1,53914.11000000001,4492.84,556.2566609977324,,"11681,39$",17,4,2,3,3,"2,0",1,"10,0"
115,M,1972,51,Married,8,Research Director,Research & Development,No,10,,Full Time,No,travel_rarely,No,3,2,5,"3,0",4,7,Life Sciences,4,124900.0,10408.33,1288.6507936507935,,"27061,67$",16,2,2,2,4,"1,0",5,"16,0"
116,M,1989,34,,-39,Manufacturing Director,Research & Development,No,11,,Part Time,Yes,,,2,1,3,"3,0",5,9,Life Sciences,4,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",13,39,2,1,2,"3,0",6,"13,0"
117,M,1988,35,Married,16,Sales Executive,Sales,No,11,,Part Time,Yes,travel_rarely,,3,2,3,"3,0",6,9,,3,80200.0,6683.33,827.4603174603175,,"17376,67$",15,3,3,2,3,"2,0",0,"12,0"
118,M,1978,45,,7,Laboratory Technician,Research & Development,No,24,,Part Time,Yes,travel_frequently,,3,1,2,"3,0",9,11,Life Sciences,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",18,1,3,1,1,"3,0",1,"24,0"
119,M,1984,39,Married,10,Manager,,No,21,,Full Time,Yes,,,4,0,3,,11,10,,1,170680.0,13859.166666666666,1760.9841269841272,,"36980,67$",14,3,3,1,4,"3,0",1,"21,0"
